Iteration	Posterior	Likelihood	Prior	rate_log_sd	rate_loss	rate_neo	root_freqs[1]	root_freqs[2]	tree_length
0	-1255.24	-1465.986	210.7457	0.6098297	5.365825	0.9996462	0.663106	0.336894	3.315819
6	-1260.179	-1470.78	210.6016	0.6024661	5.96391	0.9996462	0.71204	0.28796	3.315819
12	-1250.521	-1459.406	208.8848	0.595292	5.476894	0.9996462	0.724274	0.275726	4.377861
18	-1250.889	-1460.977	210.0878	0.6855043	5.476894	1.083164	0.724197	0.275803	3.59179
24	-1267.636	-1478.382	210.7453	0.6775395	7.470249	1.535376	0.695273	0.304727	2.714249
30	-1246.808	-1456.848	210.0399	0.7953433	3.936413	1.869045	0.715809	0.284191	3.476175
36	-1243.951	-1454.556	210.6055	0.7119726	3.784975	1.905845	0.588948	0.411052	3.210205
42	-1237.56	-1448.409	210.8489	0.622698	4.424276	1.557664	0.674358	0.325642	3.129488
48	-1245.504	-1455.704	210.1994	0.4835169	4.424276	2.350878	0.719539	0.280461	3.313157
54	-1242.535	-1453.158	210.6227	0.720934	6.760915	0.8570514	0.782101	0.217899	3.214219
60	-1244.501	-1454.417	209.9162	0.7577816	4.424276	1.552411	0.660892	0.339108	3.600241
66	-1240.48	-1450.199	209.7186	0.535917	5.958425	1.552411	0.695872	0.304128	3.600241
72	-1240.256	-1450.018	209.7618	0.4927017	5.958425	1.552411	0.732035	0.267965	3.600241
78	-1227.474	-1438.294	210.8202	0.7930426	6.001148	1.040838	0.732035	0.267965	3.043584
84	-1235.163	-1446.461	211.2985	0.8142436	6.001148	2.000252	0.787382	0.212618	2.296414
90	-1233.109	-1444.493	211.3845	0.7241036	6.001148	2.000252	0.745348	0.254652	2.299064
96	-1240.41	-1450.971	210.5615	0.7492414	6.001148	2.150764	0.753776	0.246224	2.74347
102	-1244.82	-1455.456	210.6359	0.6830718	6.768134	2.213123	0.714197	0.285803	2.609236
108	-1246.911	-1458.53	211.6189	0.7842652	5.520861	1.28935	0.729261	0.270739	2.499018
114	-1247.572	-1458.588	211.0159	0.606412	5.246655	1.504679	0.788871	0.211129	2.919841
120	-1243.54	-1453.897	210.3569	0.6321545	7.119596	1.504679	0.773593	0.226407	3.033946
126	-1248.536	-1460.045	211.5095	0.6769514	4.727157	1.519082	0.714642	0.285358	2.658727
132	-1244.168	-1455.173	211.0047	0.6777833	5.204537	1.519082	0.716259	0.283741	2.884002
138	-1240.958	-1451.861	210.9028	0.6136179	5.785895	1.519082	0.760508	0.239492	2.893179
144	-1232.397	-1443.424	211.0271	0.6052939	6.493881	1.546598	0.797336	0.202664	2.708339
150	-1232.065	-1443.646	211.5806	0.6746257	4.997566	1.854107	0.744439	0.255561	2.42752
156	-1233.352	-1444.69	211.3386	0.6609519	4.997566	1.854107	0.734974	0.265026	2.587163
162	-1239.71	-1451.655	211.9454	0.622329	5.8145	1.087122	0.811468	0.188532	2.460788
168	-1232.65	-1443.758	211.1087	0.6075238	6.760746	1.179275	0.74937	0.25063	2.79902
174	-1246.678	-1457.92	211.2414	0.7928234	5.839851	1.179275	0.714265	0.285735	2.735361
180	-1239.291	-1449.705	210.4143	0.6221306	6.554294	1.393725	0.714265	0.285735	3.128679
186	-1231.104	-1441.669	210.5647	0.6462188	5.767371	1.393725	0.709092	0.290908	3.13554
192	-1234.457	-1445.088	210.6306	0.6596402	4.484255	1.486803	0.709092	0.290908	3.256512
198	-1238.972	-1449.549	210.5773	0.7660382	5.450757	1.268909	0.742306	0.257694	3.164587
204	-1234.487	-1446.517	212.0301	1.063714	3.699143	1.29558	0.663148	0.336852	2.408378
210	-1246.18	-1459.012	212.833	1.306139	3.408633	1.29558	0.713212	0.286788	1.791695
216	-1244.711	-1457.18	212.469	1.04138	3.618109	1.29558	0.713212	0.286788	2.160449
222	-1249.831	-1461.467	211.636	1.170865	4.451968	1.840665	0.706262	0.293738	2.182981
228	-1241.225	-1453.454	212.2296	1.143296	4.451968	1.787897	0.651049	0.348951	1.827922
234	-1261.606	-1472.858	211.252	0.9588067	4.814554	1.526745	0.749409	0.250591	2.624579
240	-1250.059	-1462.088	212.029	1.073548	4.689594	2.03428	0.65177	0.34823	1.861343
246	-1251.706	-1463.565	211.8593	0.9375373	4.828684	2.006531	0.773769	0.226231	2.050278
252	-1254.417	-1463.541	209.1233	0.5675001	4.781304	1.632664	0.737971	0.262029	4.071561
258	-1249.355	-1459.112	209.7573	0.7587683	3.876078	1.632664	0.751932	0.248068	3.762743
264	-1240.089	-1451.425	211.3363	0.8414733	7.290954	1.1258	0.734208	0.265792	2.474484
270	-1252.372	-1463.833	211.461	0.9384658	7.607789	1.1258	0.756207	0.243793	2.293759
276	-1236.273	-1447.954	211.6802	0.6743036	7.951149	1.117893	0.738033	0.261967	2.284437
282	-1237.546	-1448.656	211.1096	0.8513614	7.04751	1.117893	0.715578	0.284422	2.645254
288	-1236.389	-1448.623	212.2338	0.8756619	7.125559	0.8196631	0.784361	0.215639	2.10108
294	-1237.49	-1449.276	211.7862	0.8230029	8.482772	0.9036446	0.80631	0.19369	2.194061
300	-1236.093	-1447.49	211.3973	0.9103576	5.412578	1.635365	0.773892	0.226108	2.413551
306	-1239.32	-1450.537	211.2169	0.8754128	5.071395	1.635365	0.711715	0.288285	2.605512
312	-1235.925	-1447.498	211.5737	0.7390906	5.723601	1.623822	0.706302	0.293698	2.364855
318	-1241.034	-1452.13	211.0964	0.7973044	4.6175	1.621926	0.76758	0.23242	2.813165
324	-1241.905	-1452.907	211.0018	0.8938943	6.389502	1.257481	0.743193	0.256807	2.698932
330	-1254.841	-1465.708	210.8663	0.8920632	3.376199	2.195271	0.708222	0.291778	2.93735
336	-1250.606	-1461.81	211.2045	0.8947842	3.376199	2.195271	0.708222	0.291778	2.730361
342	-1258.259	-1468.494	210.235	0.8491474	3.38131	3.651759	0.708222	0.291778	2.955993
348	-1253.213	-1464.894	211.6814	0.9600898	4.203915	2.099206	0.692728	0.307272	2.241193
354	-1252.647	-1463.524	210.8766	0.817559	6.067774	1.398551	0.680559	0.319441	2.798496
